StaffID,Name,Role,Contact,ShiftTiming,AssignedLocationID
S481,StaffName_480,Nurse,111-480,09:00-17:00,7
S482,StaffName_481,Nurse,111-481,09:00-17:00,7
S483,StaffName_482,Nurse,111-482,09:00-17:00,4
S484,StaffName_483,Nurse,111-483,09:00-17:00,7
S485,StaffName_484,Nurse,111-484,09:00-17:00,1
S486,StaffName_485,Nurse,111-485,09:00-17:00,6
S487,StaffName_486,Nurse,111-486,09:00-17:00,2
S488,StaffName_487,Nurse,111-487,09:00-17:00,8
S489,StaffName_488,Nurse,111-488,09:00-17:00,2
S490,StaffName_489,Nurse,111-489,09:00-17:00,2
S491,StaffName_490,Nurse,111-490,09:00-17:00,5
S492,StaffName_491,Nurse,111-491,09:00-17:00,8
S493,StaffName_492,Nurse,111-492,09:00-17:00,5
S494,StaffName_493,Nurse,111-493,09:00-17:00,5
S495,StaffName_494,Nurse,111-494,09:00-17:00,6
S496,StaffName_495,Nurse,111-495,09:00-17:00,3
S497,StaffName_496,Nurse,111-496,09:00-17:00,1
S498,StaffName_497,Nurse,111-497,09:00-17:00,10
S499,StaffName_498,Nurse,111-498,09:00-17:00,2
S500,StaffName_499,Nurse,111-499,09:00-17:00,9
